# NIGHTCRAWLER — Katalog fuer die Shell-Werkzeuge (installer.sh, motd.sh)
#
# Format: DEUTSCHER TEXT <TAB> ENGLISCHER TEXT
# Der deutsche Text ist der SCHLUESSEL — genau wie in locales/en.json fuer den
# Bot. Fehlt eine Zeile, bleibt Deutsch stehen; ein fehlender Eintrag ist also
# nie ein Fehler, nur eine Luecke. Neue Zeilen einfach anhaengen.
#
# Pruefen:  python3 tools/i18n_tools.py --check en
llama.cpp lokal einrichten (Download ca. 1 GB)?	Set up llama.cpp locally (download approx. 1 GB)?
python3.12/3.13 aus den Paketquellen installieren?	Install python3.12/3.13 from the package sources?
python@3.13 per Homebrew installieren?	Install python@3.13 via Homebrew?
uv installieren und darueber Python 3.13 holen?	Install uv and get Python 3.13 through it?
Reverse-Proxy: nginx nimmt Port 443 mit einem echten Zertifikat entgegen und reicht nach 127.0.0.1 durch. Damit bleibt der Dashboard-Port zu, die Verbindung ist verschluesselt, und die OAuth-Rueckrufe von Kick, Twitch und YouTube funktionieren ohne SSH-Tunnel — die brauchen eine oeffentlich erreichbare HTTPS-Adresse. Das Zertifikat holt certbot von Let's Encrypt und erneuert es selbst.	Reverse proxy: nginx takes port 443 with a real certificate and forwards to 127.0.0.1. The dashboard port stays closed, the connection is encrypted, and the OAuth callbacks from Kick, Twitch and YouTube work without an SSH tunnel — they need a publicly reachable HTTPS address. certbot fetches the certificate from Let's Encrypt and renews it by itself.
nginx als Reverse-Proxy mit HTTPS einrichten?	Set up nginx as a reverse proxy with HTTPS?
Domain, die auf diese Maschine zeigt (z.B. bot.example.dev)	Domain pointing at this machine (e.g. bot.example.dev)
Ohne Domain kein Zertifikat — uebersprungen.	No domain, no certificate — skipped.
nginx/certbot liessen sich nicht installieren.	nginx/certbot could not be installed.
nginx eingerichtet.	nginx configured.
nginx-Konfiguration fehlerhaft — bitte 'sudo nginx -t' pruefen.	nginx configuration is faulty — please check with 'sudo nginx -t'.
certbot holt jetzt das Zertifikat. Dafuer muss Port 80 dieser Maschine aus dem Internet erreichbar sein und die Domain hierher zeigen — sonst schlaegt die Pruefung fehl. Die Erneuerung laeuft danach von selbst per systemd-Timer.	certbot will now fetch the certificate. For that, port 80 of this machine must be reachable from the internet and the domain must point here — otherwise the challenge fails. Renewal then runs by itself via a systemd timer.
Zertifikat jetzt holen (Let's Encrypt)?	Fetch the certificate now (Let's Encrypt)?
Zertifikat aktiv, HTTP leitet auf HTTPS um.	Certificate active, HTTP redirects to HTTPS.
Die MOTD zeigt bei jedem SSH-Login den Zustand in einem Bild: Last, RAM, Platte, Dienst, Dashboard, Fehler heute, wie viele Streamer live sind und ob wirklich aufgenommen wird. Kostet einen Sekundenbruchteil pro Login. Sie ersetzt dabei die Standard-MOTD der Distribution — die kommt bei 'tools/motd.sh --uninstall' vollstaendig zurueck.	The MOTD shows the state at every SSH login in one picture: load, RAM, disk, service, dashboard, errors today, how many streamers are live and whether recording is actually happening. Costs a fraction of a second per login. It replaces the distribution's default MOTD — which comes back in full with 'tools/motd.sh --uninstall'.
Abgebrochen — nichts veraendert.	Aborted — nothing changed.
Auf einem Raspberry Pi gilt: Aufnahme und EIN Restream-Ziel ohne Transcode sind realistisch. Transcode (mehrere Ziele gleichzeitig) rechnet die CPU in Software und ueberfordert jeden Pi. Aufnahmen gehoeren auf eine USB-SSD, nicht auf die SD-Karte — Dauerschreiben killt SD-Karten binnen Wochen.	On a Raspberry Pi: recording plus ONE restream target without transcoding is realistic. Transcoding (several targets at once) is done in software by the CPU and overwhelms any Pi. Recordings belong on a USB SSD, not on the SD card — continuous writing kills SD cards within weeks.
BOT_TOKEN gesetzt.	BOT_TOKEN set.
CrowdSec fehlt in den Quellen — siehe docs/CROWDSEC.md.	CrowdSec is not in the package sources — see docs/en/CROWDSEC.md.
DASHBOARD_PIN gesetzt.	DASHBOARD_PIN set.
DASHBOARD_TOKEN gesetzt.	DASHBOARD_TOKEN set.
Das Dashboard ist die Weboberflaeche mit 359 Routen: Sendeleiste, Aufnahmen, Statistiken, Abwehr. Es bindet standardmaessig NUR auf 127.0.0.1 — also nicht im Netz erreichbar. Der sichere Zugang ist ein SSH-Tunnel; alles andere sperrt man ueber Token oder Firewall auf.	The dashboard is the web interface with 359 routes: broadcast bar, recordings, statistics, defence. By default it binds ONLY to 127.0.0.1 — so it is not reachable on the network. The safe way in is an SSH tunnel; anything else you unlock with a token or a firewall rule.
Dashboard-Token: steht in .env (DASHBOARD_TOKEN)	Dashboard token: stored in .env (DASHBOARD_TOKEN)
Datenbank: standardmaessig SQLite — eine Datei, kein Dienst, kein Passwort, und bis in den sechsstelligen Zeilenbereich schnell genug. MariaDB lohnt erst, wenn mehrere Rechner auf dieselben Daten sollen.	Database: SQLite by default — one file, no service, no password, and fast enough into the hundreds of thousands of rows. MariaDB only pays off once several machines need the same data.
Deine Telegram-Nutzer-ID (mehrere per Komma, leer = keine Sperre)	Your Telegram user ID (several separated by commas, empty = no restriction)
Der Dashboard-Token schuetzt den Zugriff von aussen (Aufruf einmal mit ?token=..., danach haelt ein Cookie). Loopback und SSH-Tunnel bleiben immer frei. Das ist ein frei waehlbares Geheimnis — hier ist Erzeugen die bessere Wahl als Ausdenken.	The dashboard token protects access from outside (call it once with ?token=..., after that a cookie holds). Loopback and SSH tunnels always stay open. This is a freely chosen secret — generating one is the better choice than inventing one.
Dienst liess sich nicht aktivieren.	The service could not be enabled.
Diese Maschine ist klein. Die Vorgaben des Bots sind auf einen 8-Kern-Server gemuenzt; unveraendert fuehrt das hier zu abgebrochenen Aufnahmen und stotternden Restreams. Das sparsame Profil setzt: nur ein Restream-Ziel, 3500 kbit statt 6000, je ein ffmpeg-Thread fuer Aufnahme und Hintergrund, hoechstens eine Transkription gleichzeitig.	This machine is small. The bot's defaults are aimed at an 8-core server; left unchanged they lead to aborted recordings and stuttering restreams here. The frugal profile sets: one restream target only, 3500 kbit instead of 6000, one ffmpeg thread each for recording and background work, at most one transcription at a time.
Diese Ubuntu-Fassung hat kein 3.12 in den Quellen. Das Zusatz-Repository deadsnakes ist der uebliche Weg dorthin.	This Ubuntu release has no 3.12 in its sources. The additional deadsnakes repository is the usual way to get there.
Discord-Server-ID (Guild-ID, Rechtsklick auf den Server → ID kopieren)	Discord server ID (guild ID, right-click the server → Copy ID)
Ein systemd-Dienst startet den Bot beim Booten, startet ihn nach einem Absturz neu und schreibt alles ins Journal (journalctl). Ohne ihn laeuft der Bot nur, solange deine SSH-Sitzung offen ist.	A systemd service starts the bot at boot, restarts it after a crash and writes everything to the journal (journalctl). Without it the bot only runs as long as your SSH session is open.
Erkannt:   Raspberry Pi	Detected:  Raspberry Pi
Frage	Question
Freigabeliste gesetzt.	Allow-list set.
Haeufigste Ursachen: kein Compiler fuer ein Paket ohne fertiges Rad (dann: sudo apt install build-essential python3-dev), oder eine abgerissene Verbindung. Wiederholen ist gefahrlos: .venv/bin/pip install -r requirements.txt	Most common causes: no compiler for a package without a prebuilt wheel (then: sudo apt install build-essential python3-dev), or a dropped connection. Retrying is harmless: .venv/bin/pip install -r requirements.txt
In welches Verzeichnis soll NIGHTCRAWLER?	Which directory should NIGHTCRAWLER go into?
Jetzt wird geprueft, ob das Zusammengestellte wirklich laeuft: bot.py --selfcheck laedt den kompletten Bot, prueft Werkzeuge, Konfiguration und Erreichbarkeiten und beendet sich wieder. Das ist der Unterschied zwischen 'installiert' und 'laeuft'.	Now it checks whether what was assembled actually runs: bot.py --selfcheck loads the complete bot, checks tools, configuration and reachability, and exits again. That is the difference between 'installed' and 'running'.
KI (AZRAEL): ohne jede Einrichtung laeuft sie ueber keylose freie Backends — das kostet nichts und braucht keinen Schluessel, ist aber langsamer und nicht immer erreichbar. Ein lokales llama.cpp antwortet in Millisekunden, kostet nichts und verlaesst die Maschine nie; es braucht rund 1 GB Platte und 2 GB RAM.	AI (AZRAEL): with no setup at all it runs over keyless free backends — that costs nothing and needs no key, but it is slower and not always reachable. A local llama.cpp answers in milliseconds, costs nothing and never leaves the machine; it needs around 1 GB of disk and 2 GB of RAM.
MOTD-Einrichtung fehlgeschlagen.	MOTD setup failed.
Mindestens ein Paket fehlte in den Quellen — es wird spaeter im venv ergaenzt.	At least one package was missing from the sources — it will be added in the venv later.
Modell-Download fehlgeschlagen — Anleitung: docs/SETUP_LLAMACPP.md	Model download failed — instructions: docs/en/SETUP_LLAMACPP.md
NIGHTCRAWLER wird ueber Telegram bedient. Ohne Bot-Token startet dieser Teil nicht. Den Token gibt dir @BotFather in Telegram: /newbot, Namen vergeben, fertig — er sieht aus wie 123456789:AAF... Er ist ein Geheimnis und laesst sich nicht erzeugen, nur holen.	NIGHTCRAWLER is operated through Telegram. Without a bot token that part does not start. @BotFather in Telegram gives you the token: /newbot, pick a name, done — it looks like 123456789:AAF... It is a secret and cannot be generated, only obtained.
Name der Admin-Rolle (fuer /ban, /timeout, /setup_*)	Name of the admin role (for /ban, /timeout, /setup_*)
Name des Dienstes	Service name
OPTIONAL: tiktok_cookies.txt anlegen (gegen HTTP 403 bei der Stream-Aufloesung)	OPTIONAL: create tiktok_cookies.txt (against HTTP 403 during stream resolution)
Ohne Freigabeliste darf JEDER, der deinen Bot findet, ihn bedienen. ALLOWED_USER_IDS ist diese Liste (Zahlen, per Komma getrennt). Deine eigene ID sagt dir @userinfobot in Telegram.	Without an allow-list, ANYONE who finds your bot may operate it. ALLOWED_USER_IDS is that list (numbers, comma separated). @userinfobot in Telegram tells you your own ID.
Ohne Token und oeffentlich gebunden — bitte wenigstens die Firewall zumachen.	Bound publicly and without a token — please at least close the firewall.
Optional: dieselben Funktionen als Slash-Commands in deinem Discord-Server, dazu Moderation und Community-Features. Token aus dem Discord Developer Portal (Bot → Reset Token). Ohne Token bleibt der Discord-Teil einfach still — der Bot startet trotzdem.	Optional: the same functions as slash commands in your Discord server, plus moderation and community features. Token from the Discord Developer Portal (Bot → Reset Token). Without a token the Discord part simply stays quiet — the bot starts anyway.
PUBLIC_BASE_URL und TRUSTED_PROXIES sind gesetzt — die OAuth-Rueckrufe stimmen damit ohne weitere Pflege.	PUBLIC_BASE_URL and TRUSTED_PROXIES are set — the OAuth callbacks are correct without further maintenance.
Port fuers Dashboard	Dashboard port
Restream heisst: der TikTok-Stream wird gleichzeitig auf deine eigenen Kanaele gesendet. Der Stream-Key kommt von der jeweiligen Plattform (Kick: Creator-Dashboard → Stream Key; Twitch: Creator Dashboard → Einstellungen → Stream; YouTube: Studio → Livestream). Er ist ein Geheimnis und laesst sich nicht erzeugen. Ohne Key bleibt das Ziel aus.	Restreaming means: the TikTok stream is sent to your own channels at the same time. The stream key comes from the respective platform (Kick: creator dashboard → Stream Key; Twitch: Creator Dashboard → Settings → Stream; YouTube: Studio → Live streaming). It is a secret and cannot be generated. Without a key the target stays off.
Rueckfallweg ohne Paketquellen: uv (astral.sh) laedt eine fertige, eigenstaendige CPython-Fassung in dein Home — ohne root, ohne das System-Python anzufassen. Genau der Weg fuer Debian 12 und Raspberry Pi OS.	Fallback without package sources: uv (astral.sh) downloads a ready-made, standalone CPython build into your home — without root, without touching the system Python. Exactly the route for Debian 12 and Raspberry Pi OS.
Selbsttest hatte Befunde: erneut pruefen mit  .venv/bin/python bot.py --selfcheck	Self-test reported findings: re-check with  .venv/bin/python bot.py --selfcheck
Soll der Bot dauerhaft laufen, braucht er einen Aufpasser: unter WSL 'wsl --shutdown'-fest per Aufgabenplanung, im Container per Restart-Regel, sonst tmux/screen.	If the bot is to run permanently it needs a supervisor: under WSL make it survive 'wsl --shutdown' via Task Scheduler, in a container via a restart policy, otherwise tmux/screen.
Stirbt der Prozess ganz — OOM-Killer, kaputter Build, Absturz beim Start — sagt dir das sonst NIEMAND. Die Totmann-Meldung schickt bei jedem Ausfall die letzten Logzeilen per Telegram oder Discord.	If the process dies completely — OOM killer, broken build, crash at startup — NOBODY tells you otherwise. The dead-man alert sends the last log lines via Telegram or Discord on every failure.
TikTok liefert manche Streams nur mit gueltiger Sitzung aus; ohne Cookies bricht die Aufloesung dann mit HTTP 403 ab. Der Bot liest sie aus tiktok_cookies.txt im Netscape-Format (Browser-Erweiterung 'Get cookies.txt'). Ohne die Datei laeuft alles — nur eben nicht bei geschuetzten Streams.	TikTok only serves some streams with a valid session; without cookies the resolution then fails with HTTP 403. The bot reads them from tiktok_cookies.txt in Netscape format (browser extension 'Get cookies.txt'). Everything works without the file — just not for protected streams.
Unter 2 GB RAM: Transkription (Whisper) und lokales LLM bitte auslassen.	Under 2 GB RAM: please skip transcription (Whisper) and the local LLM.
Unter 4 GB RAM: Aufnahme und ein Restream-Ziel gehen, mehreres wird eng.	Under 4 GB RAM: recording plus one restream target works, more gets tight.
Unter 5 GB frei — Aufnahmen fuellen die Platte sehr schnell.	Less than 5 GB free — recordings fill the disk very quickly.
Vier Dinge kommen NICHT ueber pip, weil es Programme sind und keine Bibliotheken: ffmpeg schneidet, kodiert und sendet; streamlink loest die TikTok-Quelle auf; yt-dlp ist der Rueckfall, wenn TikTok mit 403 blockt; sqlite3 ist die Kommandozeile zur Datenbank (fuer Diagnose, nicht fuer den Betrieb).	Four things do NOT come via pip, because they are programs and not libraries: ffmpeg cuts, encodes and sends; streamlink resolves the TikTok source; yt-dlp is the fallback when TikTok blocks with 403; sqlite3 is the command line to the database (for diagnosis, not for operation).
Vorhandenes .venv passt nicht (zu altes Python) — wird neu angelegt.	The existing .venv does not fit (Python too old) — it is being recreated.
Wichtig zur Last: sobald ein zweites Ziel dazukommt, muss ffmpeg umkodieren (Transcode) — das kostet ein Vielfaches an CPU. Ein Ziel ohne Transcode laeuft selbst auf schwacher Hardware.	Important about load: as soon as a second target is added, ffmpeg has to transcode — that costs a multiple of the CPU. One target without transcoding runs even on weak hardware.
Willst du das Dashboard direkt aus dem Netz erreichen (statt per SSH-Tunnel), muss es auf 0.0.0.0 lauschen. Das ist eine bewusste Oeffnung: wer den Port erreicht, kann Aufnahmen loeschen, Cookies sehen und Logs lesen. Nur mit Token UND Firewall machen.	If you want to reach the dashboard directly from the network (instead of through an SSH tunnel), it has to listen on 0.0.0.0. That is a deliberate opening: whoever reaches the port can delete recordings, see cookies and read logs. Only do it with a token AND a firewall.
Zusaetzlich gibt es einen PIN-Login fuer die Weboberflaeche und die PWA auf dem Handy — bequemer als ein 40-Zeichen-Token im Browser. Token und PIN duerfen parallel gelten.	There is also a PIN login for the web interface and the PWA on your phone — more convenient than a 40-character token in the browser. Token and PIN may both be active.
bot.py laesst sich nicht einmal einlesen — Python-Fassung pruefen.	bot.py cannot even be parsed — check the Python version.
git fehlt und wird zum Holen des Quelltexts gebraucht.	git is missing and is needed to fetch the source.
git pull fehlgeschlagen — lokale Aenderungen? Quelltext bleibt wie er ist.	git pull failed — local changes? The source stays as it is.
launchctl load fehlgeschlagen.	launchctl load failed.
launchd-Eintrag geladen.	launchd entry loaded.
llamacpp-Dienst startete nicht — journalctl -u llamacpp -n 50	The llamacpp service did not start — journalctl -u llamacpp -n 50
macOS hat kein systemd. Das Gegenstueck heisst launchd: eine Datei in ~/Library/LaunchAgents, die den Bot beim Anmelden startet und neu startet, wenn er stirbt.	macOS has no systemd. Its counterpart is launchd: a file in ~/Library/LaunchAgents that starts the bot at login and restarts it when it dies.
pip liess sich nicht aktualisieren — weiter mit der vorhandenen Fassung.	pip could not be upgraded — continuing with the existing version.
streamlink liess sich nicht nachinstallieren.	streamlink could not be installed afterwards.
systemctl daemon-reload fehlgeschlagen.	systemctl daemon-reload failed.
tiktok_cookies.txt ist vorhanden.	tiktok_cookies.txt is present.
yt-dlp liess sich nicht nachinstallieren.	yt-dlp could not be installed afterwards.

# --- tools/install.bat (v4.2-W8) ---------------------------------------
# Der Windows-Installer hatte bis hierher gar keine Sprachschicht. Er
# benutzt denselben Katalog wie installer.sh und motd.sh: 18 Zeilen
# standen schon da und werden mitbenutzt — genau dafuer ist es EINE Datei.
(sichtbar, PowerShell fehlt):	(visible, PowerShell missing):
.env, Datenbanken, Aufnahmen und Logs bleiben dabei unberuehrt - sie gehoeren dir, nicht dem Build.	.env, databases, recordings and logs are left untouched - they belong to you, not to the build.
1  Starten:	1  Start:
1  Willkommen            6  Konfiguration (.env)	1  Welcome              6  Configuration (.env)
2  In Telegram deinen Bot anschreiben:  /start, dann /track NAME	2  Message your bot in Telegram:  /start, then /track NAME
2  System pruefen        7  Selbsttest	2  Check the system     7  Self-test
3  Dashboard oeffnen:	3  Open the dashboard:
3  Python                8  Startskript und Autostart	3  Python               8  Start script and autostart
4  Zielverzeichnis       9  Was unter Windows anders ist	4  Target directory     9  What differs on Windows
5  Pakete               10  Zusammenfassung	5  Packages            10  Summary
Abgebrochen - es wurde nichts veraendert.	Cancelled - nothing was changed.
Alle Einstellungen leben in einer einzigen Datei: .env. Sie enthaelt Bot-Token, Stream-Keys und Cookies - sie gehoert nie in ein Archiv und nie in ein Repository.	Every setting lives in a single file: .env. It holds bot tokens, stream keys and cookies - it never belongs in an archive and never in a repository.
Alles Weitere lebt in einer virtuellen Umgebung unter .venv - ein eigener Ordner mit eigenem Python und eigenen Bibliotheken. Damit kann keine Installation hier dein System-Python beschaedigen und umgekehrt.	Everything else lives in a virtual environment under .venv - its own folder with its own Python and its own libraries. That way nothing installed here can damage your system Python, or the other way round.
Alles davon steht auch in	All of this is also written to
Aufgabe 'NIGHTCRAWLER' anlegen, die bei der Anmeldung startet?	Create a task 'NIGHTCRAWLER' that starts at logon?
Aufgabe angelegt (entfernen: schtasks /delete /tn NIGHTCRAWLER /f).	Task created (to remove: schtasks /delete /tn NIGHTCRAWLER /f).
Aufgabe liess sich nicht anlegen (fehlende Rechte?). Von Hand: Aufgabenplanung, Aufgabe erstellen, Ausloeser 'Bei Anmeldung'.	The task could not be created (missing rights?). By hand: Task Scheduler, create task, trigger 'At log on'.
Aufnahmen brauchen Platz: eine Stunde Stream sind grob 1 bis 3 GB.	Recordings need space: one hour of stream is roughly 1 to 3 GB.
Autostart: Aufgabenplanung, Aufgabe 'NIGHTCRAWLER'	Autostart: Task Scheduler, task 'NIGHTCRAWLER'
Beim Installieren 'Add python.exe to PATH' ankreuzen.	Tick 'Add python.exe to PATH' while installing.
Benutzer / Rechner:	User / machine:
Bestehende Installation gefunden - Quelltext bleibt unangetastet.	Existing installation found - the source stays untouched.
Danach ein NEUES Fenster oeffnen und dieses Skript erneut starten.	Then open a NEW window and run this script again.
Das Dashboard ist die Weboberflaeche: Sendeleiste, Aufnahmen, Statistiken, Abwehr. Es bindet nur auf 127.0.0.1, ist also nur auf diesem Rechner erreichbar - unter Windows ist das genau richtig.	The dashboard is the web interface: broadcast bar, recordings, statistics, defence. It binds to 127.0.0.1 only, so it is reachable from this machine alone - on Windows that is exactly right.
Dashboard	Dashboard
Dashboard-PIN: steht in .env (DASHBOARD_PIN)	Dashboard PIN: stored in .env (DASHBOARD_PIN)
Dashboard-Token	Dashboard token
Der Dashboard-Token schuetzt den Zugriff von aussen. Er ist frei waehlbar - hier ist Erzeugen die bessere Wahl als Ausdenken.	The dashboard token protects access from outside. You may choose it freely - generating one is the better option than inventing one.
Der Ordner recordings gehoert auf die groesste Platte.	The recordings folder belongs on the largest disk.
Der Ruhezustand unterbricht laufende Aufnahmen. Fuer Dauerbetrieb	Sleep mode interrupts running recordings. For continuous operation
Der Selbsttest liess sich nicht ausfuehren - Ersatzpruefung: laesst sich bot.py einlesen?	The self-test could not be run - fallback check: can bot.py be parsed?
Der Selbsttest meldet offene Punkte (oben). Meist fehlt ein Token - der Bot startet trotzdem.	The self-test reports open items (above). Usually a token is missing - the bot starts anyway.
Der Weg in zehn Schritten:	The path in ten steps:
Die Eingaben waren nicht gleich - noch einmal.	The two entries did not match - once more.
Die Installation wurde abgebrochen in Schritt	The installation was cancelled at step
Dieses Skript richtet den Bot ein und erklaert dabei, was es tut	This script sets the bot up and explains what it does
Discord	Discord
Discord Bot-Token	Discord bot token
Discord-Server-ID (Rechtsklick auf den Server, ID kopieren)	Discord server ID (right-click the server, copy ID)
Download: https://www.gyan.dev/ffmpeg/builds/   (den Ordner bin in den PATH legen)	Download: https://www.gyan.dev/ffmpeg/builds/   (put the bin folder on the PATH)
Download: https://www.python.org/downloads/windows/	Download: https://www.python.org/downloads/windows/
